Device_id,time,RPM,Total_rotations,On_time,Off_time
1,11-05-2023 00:01,10,10,1,0
1,11-05-2023 00:02,15,25,2,0
1,11-05-2023 00:03,15,40,3,0
1,11-05-2023 00:04,15,55,4,0
1,11-05-2023 00:05,15,70,5,0
1,11-05-2023 00:06,14,84,6,0
1,11-05-2023 00:07,16,100,7,0
1,11-05-2023 00:08,15,115,8,0
1,11-05-2023 00:09,15,130,9,0
1,11-05-2023 00:10,15,145,10,0
1,11-05-2023 00:11,15,160,11,0
1,11-05-2023 00:12,15,175,12,0
1,11-05-2023 00:13,15,190,13,0
1,11-05-2023 00:14,15,205,14,0
1,11-05-2023 00:15,15,220,15,0
1,11-05-2023 00:16,15,235,16,0
1,11-05-2023 00:17,15,250,17,0
1,11-05-2023 00:18,15,265,18,0
1,11-05-2023 00:19,15,280,19,0
1,11-05-2023 00:20,15,295,20,0
1,11-05-2023 00:21,15,310,21,0
1,11-05-2023 00:22,15,325,22,0
1,11-05-2023 00:23,15,340,23,0
1,11-05-2023 00:24,15,355,24,0
1,11-05-2023 00:25,15,370,25,0
1,11-05-2023 00:26,15,385,26,0
1,11-05-2023 00:27,15,400,27,0
1,11-05-2023 00:28,15,415,28,0
1,11-05-2023 00:29,15,430,29,0
1,11-05-2023 00:30,15,445,30,0
1,11-05-2023 00:31,15,460,31,0
1,11-05-2023 00:32,15,475,32,0
1,11-05-2023 00:33,15,490,33,0
1,11-05-2023 00:34,15,505,34,0
1,11-05-2023 00:35,15,520,35,0
1,11-05-2023 00:36,15,535,36,0
1,11-05-2023 00:37,15,550,37,0
1,11-05-2023 00:38,15,565,38,0
1,11-05-2023 00:39,15,580,39,0
1,11-05-2023 00:40,15,595,40,0
1,11-05-2023 00:41,15,610,41,0
1,11-05-2023 00:42,15,625,42,0
1,11-05-2023 00:43,15,640,43,0
1,11-05-2023 00:44,15,655,44,0
1,11-05-2023 00:45,15,670,45,0
1,11-05-2023 00:46,15,685,46,0
1,11-05-2023 00:47,15,700,47,0
1,11-05-2023 00:48,15,715,48,0
1,11-05-2023 00:49,15,730,49,0
1,11-05-2023 00:50,15,745,50,0
1,11-05-2023 00:51,15,760,51,0
1,11-05-2023 00:52,15,775,52,0
1,11-05-2023 00:53,15,790,53,0
1,11-05-2023 00:54,15,805,54,0
1,11-05-2023 00:55,15,820,55,0
1,11-05-2023 00:56,15,835,56,0
1,11-05-2023 00:57,15,850,57,0
1,11-05-2023 00:58,15,865,58,0
1,11-05-2023 00:59,15,880,59,0
1,11-05-2023 01:00,15,895,60,0
1,11-05-2023 01:01,15,910,61,0
1,11-05-2023 01:02,15,925,62,0
1,11-05-2023 01:03,15,940,63,0
1,11-05-2023 01:04,15,955,64,0
1,11-05-2023 01:05,15,970,65,0
1,11-05-2023 01:06,15,985,66,0
1,11-05-2023 01:07,15,1000,67,0
1,11-05-2023 01:08,15,1015,68,0
1,11-05-2023 01:09,15,1030,69,0
1,11-05-2023 01:10,15,1045,70,0
1,11-05-2023 01:11,15,1060,71,0
1,11-05-2023 01:12,15,1075,72,0
1,11-05-2023 01:13,15,1090,73,0
1,11-05-2023 01:14,15,1105,74,0
1,11-05-2023 01:15,15,1120,75,0
1,11-05-2023 01:16,15,1135,76,0
1,11-05-2023 01:17,15,1150,77,0
1,11-05-2023 01:18,15,1165,78,0
1,11-05-2023 01:19,15,1180,79,0
1,11-05-2023 01:20,15,1195,80,0
1,11-05-2023 01:21,15,1210,81,0
1,11-05-2023 01:22,15,1225,82,0
1,11-05-2023 01:23,15,1240,83,0
1,11-05-2023 01:24,15,1255,84,0
1,11-05-2023 01:25,15,1270,85,0
1,11-05-2023 01:26,15,1285,86,0
1,11-05-2023 01:27,15,1300,87,0
1,11-05-2023 01:28,15,1315,88,0
1,11-05-2023 01:29,15,1330,89,0
1,11-05-2023 01:30,15,1345,90,0
1,11-05-2023 01:31,13,1358,91,0
1,11-05-2023 01:32,0,1358,91,1
1,11-05-2023 01:33,0,1358,91,2
1,11-05-2023 01:34,0,1358,91,3
1,11-05-2023 01:35,0,1358,91,4
1,11-05-2023 01:36,0,1358,91,5
1,11-05-2023 01:37,8,1366,92,5
1,11-05-2023 01:38,0,1366,92,6
1,11-05-2023 01:39,0,1366,92,7
1,11-05-2023 01:40,2,1368,93,7
1,11-05-2023 01:40,10,1378,94,7
1,11-05-2023 01:41,15,1393,95,7
1,11-05-2023 01:42,15,1408,96,7
1,11-05-2023 01:43,15,1423,97,7
1,11-05-2023 01:44,15,1438,98,7
1,11-05-2023 01:45,15,1453,99,7
1,11-05-2023 01:46,15,1468,100,7
1,11-05-2023 01:47,15,1483,101,7
1,11-05-2023 01:48,15,1498,102,7
1,11-05-2023 01:49,15,1513,103,7
1,11-05-2023 01:50,15,1528,104,7
1,11-05-2023 01:51,15,1543,105,7
1,11-05-2023 01:52,15,1558,106,7
1,11-05-2023 01:53,15,1573,107,7
1,11-05-2023 01:54,15,1588,108,7
1,11-05-2023 01:55,15,1603,109,7
1,11-05-2023 01:56,15,1618,110,7
1,11-05-2023 01:57,15,1633,111,7
1,11-05-2023 01:58,15,1648,112,7
1,11-05-2023 01:59,15,1663,113,7
1,11-05-2023 02:00,15,1678,114,7
1,11-05-2023 02:01,15,1693,115,7
1,11-05-2023 02:02,15,1708,116,7
1,11-05-2023 02:03,15,1723,117,7
1,11-05-2023 02:04,15,1738,118,7
1,11-05-2023 02:05,15,1753,119,7
1,11-05-2023 02:06,15,1768,120,7
1,11-05-2023 02:07,15,1783,121,7
1,11-05-2023 02:08,15,1798,122,7
1,11-05-2023 02:09,15,1813,123,7
1,11-05-2023 02:10,15,1828,124,7
1,11-05-2023 02:11,15,1843,125,7
1,11-05-2023 02:12,15,1858,126,7
1,11-05-2023 02:13,15,1873,127,7
1,11-05-2023 02:14,15,1888,128,7
1,11-05-2023 02:15,15,1903,129,7
1,11-05-2023 02:16,15,1918,130,7
1,11-05-2023 02:17,15,1933,131,7
1,11-05-2023 02:18,15,1948,132,7
1,11-05-2023 02:19,15,1963,133,7
1,11-05-2023 02:20,15,1978,134,7
1,11-05-2023 02:21,15,1993,135,7
1,11-05-2023 02:22,15,2008,136,7
1,11-05-2023 02:23,15,2023,137,7
1,11-05-2023 02:24,15,2038,138,7
1,11-05-2023 02:25,15,2053,139,7
1,11-05-2023 02:26,15,2068,140,7
1,11-05-2023 02:27,15,2083,141,7
1,11-05-2023 02:28,15,2098,142,7
1,11-05-2023 02:29,15,2113,143,7
1,11-05-2023 02:30,15,2128,144,7
1,11-05-2023 02:31,15,2143,145,7
1,11-05-2023 02:32,10,2153,146,7
1,11-05-2023 02:33,0,2153,146,8
1,11-05-2023 02:34,0,2153,146,9
1,11-05-2023 02:35,7,2160,147,9
2,11-05-2023 00:01,20,20,1,0
2,11-05-2023 00:02,20,40,2,0
2,11-05-2023 00:03,20,60,3,0
2,11-05-2023 00:04,20,80,4,0
2,11-05-2023 00:05,20,100,5,0
2,11-05-2023 00:06,20,120,6,0
2,11-05-2023 00:07,20,140,7,0
2,11-05-2023 00:08,20,160,8,0
2,11-05-2023 00:09,20,180,9,0
2,11-05-2023 00:10,20,200,10,0
2,11-05-2023 00:11,20,220,11,0
2,11-05-2023 00:12,20,240,12,0
2,11-05-2023 00:13,20,260,13,0
2,11-05-2023 00:14,20,280,14,0
2,11-05-2023 00:15,20,300,15,0
2,11-05-2023 00:16,20,320,16,0
2,11-05-2023 00:17,20,340,17,0
2,11-05-2023 00:18,20,360,18,0
2,11-05-2023 00:19,20,380,19,0
2,11-05-2023 00:20,20,400,20,0
2,11-05-2023 00:21,20,420,21,0
2,11-05-2023 00:22,20,440,22,0
2,11-05-2023 00:23,20,460,23,0
2,11-05-2023 00:24,20,480,24,0
2,11-05-2023 00:25,20,500,25,0
2,11-05-2023 00:26,20,520,26,0
2,11-05-2023 00:27,20,540,27,0
2,11-05-2023 00:28,20,560,28,0
2,11-05-2023 00:29,20,580,29,0
2,11-05-2023 00:30,20,600,30,0
2,11-05-2023 00:31,20,620,31,0
2,11-05-2023 00:32,20,640,32,0
2,11-05-2023 00:33,20,660,33,0
2,11-05-2023 00:34,20,680,34,0
2,11-05-2023 00:35,20,700,35,0
2,11-05-2023 00:36,20,720,36,0
2,11-05-2023 00:37,20,740,37,0
2,11-05-2023 00:38,20,760,38,0
2,11-05-2023 00:39,20,780,39,0
2,11-05-2023 00:40,20,800,40,0
2,11-05-2023 00:41,20,820,41,0
2,11-05-2023 00:42,20,840,42,0
2,11-05-2023 00:43,20,860,43,0
2,11-05-2023 00:44,20,880,44,0
2,11-05-2023 00:45,20,900,45,0
2,11-05-2023 00:46,20,920,46,0
2,11-05-2023 00:47,15,935,47,0
2,11-05-2023 00:48,0,935,47,1
2,11-05-2023 00:49,0,935,47,2
2,11-05-2023 00:50,0,935,47,3
2,11-05-2023 00:51,5,940,48,3
2,11-05-2023 00:52,10,950,49,3
2,11-05-2023 00:53,0,950,49,4
2,11-05-2023 00:54,0,950,49,5
2,11-05-2023 00:55,3,953,50,5
2,11-05-2023 00:56,15,968,51,5
2,11-05-2023 00:57,20,988,52,5
2,11-05-2023 00:58,20,1008,53,5
2,11-05-2023 00:59,20,1028,54,5
2,11-05-2023 01:00,20,1048,55,5
2,11-05-2023 01:01,20,1068,56,5
2,11-05-2023 01:02,20,1088,57,5
2,11-05-2023 01:03,20,1108,58,5
2,11-05-2023 01:04,20,1128,59,5
2,11-05-2023 01:05,20,1148,60,5
2,11-05-2023 01:06,20,1168,61,5
2,11-05-2023 01:07,20,1188,62,5
2,11-05-2023 01:08,20,1208,63,5
2,11-05-2023 01:09,20,1228,64,5
2,11-05-2023 01:10,20,1248,65,5
2,11-05-2023 01:11,20,1268,66,5
2,11-05-2023 01:12,20,1288,67,5
2,11-05-2023 01:13,20,1308,68,5
2,11-05-2023 01:14,20,1328,69,5
2,11-05-2023 01:15,20,1348,70,5
2,11-05-2023 01:16,20,1368,71,5
2,11-05-2023 01:17,20,1388,72,5
2,11-05-2023 01:18,20,1408,73,5
2,11-05-2023 01:19,20,1428,74,5
2,11-05-2023 01:20,20,1448,75,5
2,11-05-2023 01:21,20,1468,76,5
2,11-05-2023 01:22,20,1488,77,5
2,11-05-2023 01:23,20,1508,78,5
2,11-05-2023 01:24,20,1528,79,5
2,11-05-2023 01:25,20,1548,80,5
2,11-05-2023 01:26,20,1568,81,5
2,11-05-2023 01:27,20,1588,82,5
2,11-05-2023 01:28,20,1608,83,5
2,11-05-2023 01:29,20,1628,84,5
2,11-05-2023 01:30,20,1648,85,5
2,11-05-2023 01:31,20,1668,86,5
2,11-05-2023 01:32,20,1688,87,5
2,11-05-2023 01:33,20,1708,88,5
2,11-05-2023 01:34,20,1728,89,5
2,11-05-2023 01:35,20,1748,90,5
2,11-05-2023 01:36,20,1768,91,5
2,11-05-2023 01:37,20,1788,92,5
2,11-05-2023 01:38,20,1808,93,5
2,11-05-2023 01:39,20,1828,94,5
2,11-05-2023 01:40,20,1848,95,5
2,11-05-2023 01:40,20,1868,96,5
2,11-05-2023 01:41,20,1888,97,5
2,11-05-2023 01:42,20,1908,98,5
2,11-05-2023 01:43,20,1928,99,5
2,11-05-2023 01:44,20,1948,100,5
2,11-05-2023 01:45,20,1968,101,5
2,11-05-2023 01:46,20,1988,102,5
2,11-05-2023 01:47,20,2008,103,5
2,11-05-2023 01:48,20,2028,104,5
2,11-05-2023 01:49,20,2048,105,5
2,11-05-2023 01:50,20,2068,106,5
2,11-05-2023 01:51,20,2088,107,5
2,11-05-2023 01:52,20,2108,108,5
2,11-05-2023 01:53,20,2128,109,5
2,11-05-2023 01:54,20,2148,110,5
2,11-05-2023 01:55,20,2168,111,5
2,11-05-2023 01:56,20,2188,112,5
2,11-05-2023 01:57,20,2208,113,5
2,11-05-2023 01:58,20,2228,114,5
2,11-05-2023 01:59,20,2248,115,5
2,11-05-2023 02:00,20,2268,116,5
2,11-05-2023 02:01,5,2273,117,5
2,11-05-2023 02:02,0,2273,117,6
2,11-05-2023 02:03,0,2273,117,7
2,11-05-2023 02:04,0,2273,117,8
2,11-05-2023 02:05,0,2273,117,9
2,11-05-2023 02:06,0,2273,117,10
2,11-05-2023 02:07,0,2273,117,11
2,11-05-2023 02:08,0,2273,117,12
2,11-05-2023 02:09,0,2273,117,13
2,11-05-2023 02:10,0,2273,117,14
2,11-05-2023 02:11,0,2273,117,15
2,11-05-2023 02:12,0,2273,117,16
2,11-05-2023 02:13,0,2273,117,17
2,11-05-2023 02:14,0,2273,117,18
2,11-05-2023 02:15,0,2273,117,19
2,11-05-2023 02:16,0,2273,117,20
2,11-05-2023 02:17,0,2273,117,21
2,11-05-2023 02:18,0,2273,117,22
2,11-05-2023 02:19,0,2273,117,23
2,11-05-2023 02:20,0,2273,117,24
2,11-05-2023 02:21,0,2273,117,25
2,11-05-2023 02:22,0,2273,117,26
2,11-05-2023 02:23,0,2273,117,27
2,11-05-2023 02:24,0,2273,117,28
2,11-05-2023 02:25,5,2278,118,28
2,11-05-2023 02:26,2,2280,119,28
2,11-05-2023 02:27,20,2300,120,28
2,11-05-2023 02:28,10,2310,121,28
2,11-05-2023 02:29,5,2315,122,28
2,11-05-2023 02:30,5,2320,123,28
2,11-05-2023 02:31,20,2340,124,28
2,11-05-2023 02:32,20,2360,125,28
2,11-05-2023 02:33,20,2380,126,28
2,11-05-2023 02:34,20,2400,127,28
2,11-05-2023 02:35,20,2420,128,28
3,11-05-2023 00:01,13,13,1,0
3,11-05-2023 00:02,13,26,2,0
3,11-05-2023 00:03,13,39,3,0
3,11-05-2023 00:04,13,52,4,0
3,11-05-2023 00:05,13,65,5,0
3,11-05-2023 00:06,13,78,6,0
3,11-05-2023 00:07,13,91,7,0
3,11-05-2023 00:08,13,104,8,0
3,11-05-2023 00:09,13,117,9,0
3,11-05-2023 00:10,13,130,10,0
3,11-05-2023 00:11,13,143,11,0
3,11-05-2023 00:12,13,156,12,0
3,11-05-2023 00:13,13,169,13,0
3,11-05-2023 00:14,13,182,14,0
3,11-05-2023 00:15,13,195,15,0
3,11-05-2023 00:16,13,208,16,0
3,11-05-2023 00:17,13,221,17,0
3,11-05-2023 00:18,13,234,18,0
3,11-05-2023 00:19,13,247,19,0
3,11-05-2023 00:20,13,260,20,0
3,11-05-2023 00:21,13,273,21,0
3,11-05-2023 00:22,13,286,22,0
3,11-05-2023 00:23,13,299,23,0
3,11-05-2023 00:24,13,312,24,0
3,11-05-2023 00:25,13,325,25,0
3,11-05-2023 00:26,13,338,26,0
3,11-05-2023 00:27,13,351,27,0
3,11-05-2023 00:28,13,364,28,0
3,11-05-2023 00:29,13,377,29,0
3,11-05-2023 00:30,13,390,30,0
3,11-05-2023 00:31,10,400,31,0
3,11-05-2023 00:32,10,410,32,0
3,11-05-2023 00:33,10,420,33,0
3,11-05-2023 00:34,10,430,34,0
3,11-05-2023 00:35,10,440,35,0
3,11-05-2023 00:36,10,450,36,0
3,11-05-2023 00:37,10,460,37,0
3,11-05-2023 00:38,10,470,38,0
3,11-05-2023 00:39,10,480,39,0
3,11-05-2023 00:40,10,490,40,0
3,11-05-2023 00:41,10,500,41,0
3,11-05-2023 00:42,10,510,42,0
3,11-05-2023 00:43,10,520,43,0
3,11-05-2023 00:44,10,530,44,0
3,11-05-2023 00:45,10,540,45,0
3,11-05-2023 00:46,10,550,46,0
3,11-05-2023 00:47,10,560,47,0
3,11-05-2023 00:48,10,570,48,0
3,11-05-2023 00:49,10,580,49,0
3,11-05-2023 00:50,10,590,50,0
3,11-05-2023 00:51,10,600,51,0
3,11-05-2023 00:52,10,610,52,0
3,11-05-2023 00:53,10,620,53,0
3,11-05-2023 00:54,10,630,54,0
3,11-05-2023 00:55,10,640,55,0
3,11-05-2023 00:56,10,650,56,0
3,11-05-2023 00:57,10,660,57,0
3,11-05-2023 00:58,10,670,58,0
3,11-05-2023 00:59,10,680,59,0
3,11-05-2023 01:00,10,690,60,0
3,11-05-2023 01:01,10,700,61,0
3,11-05-2023 01:02,10,710,62,0
3,11-05-2023 01:03,10,720,63,0
3,11-05-2023 01:04,12,732,64,0
3,11-05-2023 01:05,12,744,65,0
3,11-05-2023 01:06,12,756,66,0
3,11-05-2023 01:07,12,768,67,0
3,11-05-2023 01:08,12,780,68,0
3,11-05-2023 01:09,12,792,69,0
3,11-05-2023 01:10,12,804,70,0
3,11-05-2023 01:11,12,816,71,0
3,11-05-2023 01:12,12,828,72,0
3,11-05-2023 01:13,12,840,73,0
3,11-05-2023 01:14,12,852,74,0
3,11-05-2023 01:15,12,864,75,0
3,11-05-2023 01:16,0,864,75,1
3,11-05-2023 01:17,0,864,75,2
3,11-05-2023 01:18,0,864,75,3
3,11-05-2023 01:19,0,864,75,4
3,11-05-2023 01:20,0,864,75,5
3,11-05-2023 01:21,0,864,75,6
3,11-05-2023 01:22,0,864,75,7
3,11-05-2023 01:23,0,864,75,8
3,11-05-2023 01:24,0,864,75,9
3,11-05-2023 01:25,0,864,75,10
3,11-05-2023 01:26,0,864,75,11
3,11-05-2023 01:27,0,864,75,12
3,11-05-2023 01:28,0,864,75,13
3,11-05-2023 01:29,0,864,75,14
3,11-05-2023 01:30,0,864,75,15
3,11-05-2023 01:31,0,864,75,16
3,11-05-2023 01:32,0,864,75,17
3,11-05-2023 01:33,0,864,75,18
3,11-05-2023 01:34,0,864,75,19
3,11-05-2023 01:35,0,864,75,20
3,11-05-2023 01:36,0,864,75,21
3,11-05-2023 01:37,0,864,75,22
3,11-05-2023 01:38,0,864,75,23
3,11-05-2023 01:39,0,864,75,24
3,11-05-2023 01:40,0,864,75,25
3,11-05-2023 01:40,0,864,75,26
3,11-05-2023 01:41,0,864,75,27
3,11-05-2023 01:42,0,864,75,28
3,11-05-2023 01:43,0,864,75,29
3,11-05-2023 01:44,0,864,75,30
3,11-05-2023 01:45,0,864,75,31
3,11-05-2023 01:46,15,879,76,31
3,11-05-2023 01:47,15,894,77,31
3,11-05-2023 01:48,15,909,78,31
3,11-05-2023 01:49,15,924,79,31
3,11-05-2023 01:50,15,939,80,31
3,11-05-2023 01:51,15,954,81,31
3,11-05-2023 01:52,15,969,82,31
3,11-05-2023 01:53,15,984,83,31
3,11-05-2023 01:54,15,999,84,31
3,11-05-2023 01:55,15,1014,85,31
3,11-05-2023 01:56,15,1029,86,31
3,11-05-2023 01:57,15,1044,87,31
3,11-05-2023 01:58,15,1059,88,31
3,11-05-2023 01:59,15,1074,89,31
3,11-05-2023 02:00,15,1089,90,31
3,11-05-2023 02:01,15,1104,91,31
3,11-05-2023 02:02,15,1119,92,31
3,11-05-2023 02:03,15,1134,93,31
3,11-05-2023 02:04,15,1149,94,31
3,11-05-2023 02:05,15,1164,95,31
3,11-05-2023 02:06,15,1179,96,31
3,11-05-2023 02:07,15,1194,97,31
3,11-05-2023 02:08,15,1209,98,31
3,11-05-2023 02:09,15,1224,99,31
3,11-05-2023 02:10,15,1239,100,31
3,11-05-2023 02:11,15,1254,101,31
3,11-05-2023 02:12,15,1269,102,31
3,11-05-2023 02:13,15,1284,103,31
3,11-05-2023 02:14,15,1299,104,31
3,11-05-2023 02:15,15,1314,105,31
3,11-05-2023 02:16,15,1329,106,31
3,11-05-2023 02:17,15,1344,107,31
3,11-05-2023 02:18,15,1359,108,31
3,11-05-2023 02:19,15,1374,109,31
3,11-05-2023 02:20,15,1389,110,31
3,11-05-2023 02:21,15,1404,111,31
3,11-05-2023 02:22,15,1419,112,31
3,11-05-2023 02:23,15,1434,113,31
3,11-05-2023 02:24,15,1449,114,31
3,11-05-2023 02:25,15,1464,115,31
3,11-05-2023 02:26,15,1479,116,31
3,11-05-2023 02:27,15,1494,117,31
3,11-05-2023 02:28,15,1509,118,31
3,11-05-2023 02:29,15,1524,119,31
3,11-05-2023 02:30,15,1539,120,31
3,11-05-2023 02:31,15,1554,121,31
3,11-05-2023 02:32,15,1569,122,31
3,11-05-2023 02:33,15,1584,123,31
3,11-05-2023 02:34,15,1599,124,31
3,11-05-2023 02:35,15,1614,125,31
